ID,Sex,stage,cell_count,cell_perc,chromo_number
81,Male,nymph,10,58.82352941,4
81,Male,nymph,3,17.64705882,5
81,Male,nymph,3,17.64705882,6
81,Male,nymph,0,0,7
81,Male,nymph,0,0,8
81,Male,nymph,0,0,9
81,Male,nymph,0,0,10
81,Male,nymph,0,0,11
81,Male,nymph,0,0,12
81,Male,nymph,0,0,13
81,Male,nymph,0,0,14
81,Male,nymph,1,5.882352941,15
81,Male,nymph,0,0,16
81,Male,nymph,0,0,17
81,Male,nymph,0,0,18
81,Male,nymph,0,0,19
81,Male,nymph,0,0,20
81,Male,nymph,0,0,21
81,Male,nymph,0,0,22
81,Male,nymph,0,0,23
81,Male,nymph,0,0,24
89,Male,nymph,0,0,4
89,Male,nymph,0,0,5
89,Male,nymph,0,0,6
89,Male,nymph,0,0,7
89,Male,nymph,3,42.85714286,8
89,Male,nymph,3,42.85714286,9
89,Male,nymph,0,0,10
89,Male,nymph,1,14.28571429,11
89,Male,nymph,0,0,12
89,Male,nymph,0,0,13
89,Male,nymph,0,0,14
89,Male,nymph,0,0,15
89,Male,nymph,0,0,16
89,Male,nymph,0,0,17
89,Male,nymph,0,0,18
89,Male,nymph,0,0,19
89,Male,nymph,0,0,20
89,Male,nymph,0,0,21
89,Male,nymph,0,0,22
89,Male,nymph,0,0,23
89,Male,nymph,0,0,24
90,Female,nymph,0,0,4
90,Female,nymph,0,0,5
90,Female,nymph,1,8.333333333,6
90,Female,nymph,0,0,7
90,Female,nymph,0,0,8
90,Female,nymph,0,0,9
90,Female,nymph,0,0,10
90,Female,nymph,0,0,11
90,Female,nymph,0,0,12
90,Female,nymph,1,8.333333333,13
90,Female,nymph,4,33.33333333,14
90,Female,nymph,3,25,15
90,Female,nymph,2,16.66666667,16
90,Female,nymph,1,8.333333333,17
90,Female,nymph,0,0,18
90,Female,nymph,0,0,19
90,Female,nymph,0,0,20
90,Female,nymph,0,0,21
90,Female,nymph,0,0,22
90,Female,nymph,0,0,23
90,Female,nymph,0,0,24
93,Female,nymph,0,0,4
93,Female,nymph,0,0,5
